claim,evidence,label,claim_clean,evidence_clean,combined_text
"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001).",0,diminished ovarian reserve strong indicator infertility even priori noninfertile population,inhibin b level n associated probability conceiving given cycle hazard ratio per pgml increase ci,diminished ovarian reserve strong indicator infertility even priori noninfertile population inhibin b level n associated probability conceiving given cycle hazard ratio per pgml increase ci
"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Conclusions and Relevance Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.",0,diminished ovarian reserve strong indicator infertility even priori noninfertile population,conclusion relevance among woman aged year without history infertility trying conceive month less biomarkers indicating diminished ovarian reserve compared normal ovarian reserve associated reduced fertility,diminished ovarian reserve strong indicator infertility even priori noninfertile population conclusion relevance among woman aged year without history infertility trying conceive month less biomarkers indicating diminished ovarian reserve compared normal ovarian reserve associated reduced fertility
A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,Individuals homozygous for alpha(+)-thalassaemia have microcytosis and an increased erythrocyte count.,1,high microerythrocyte count protects severe anemia homozygous alpha thalassemia trait subject,individual homozygous alphathalassaemia microcytosis increased erythrocyte count,high microerythrocyte count protects severe anemia homozygous alpha thalassemia trait subject individual homozygous alphathalassaemia microcytosis increased erythrocyte count
A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,"We estimated that the haematological profile in children homozygous for alpha(+)-thalassaemia reduces the risk of SMA during acute malaria compared to children of normal genotype (relative risk 0.52; 95% confidence interval [CI] 0.24-1.12, p = 0.09).   
",1,high microerythrocyte count protects severe anemia homozygous alpha thalassemia trait subject,estimated haematological profile child homozygous alphathalassaemia reduces risk sma acute malaria compared child normal genotype relative risk confidence interval ci p,high microerythrocyte count protects severe anemia homozygous alpha thalassemia trait subject estimated haematological profile child homozygous alphathalassaemia reduces risk sma acute malaria compared child normal genotype relative risk confidence interval ci p
A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,CONCLUSIONS The increased erythrocyte count and microcytosis in children homozygous for alpha(+)-thalassaemia may contribute substantially to their protection against SMA.,1,high microerythrocyte count protects severe anemia homozygous alpha thalassemia trait subject,conclusion increased erythrocyte count microcytosis child homozygous alphathalassaemia may contribute substantially protection sma,high microerythrocyte count protects severe anemia homozygous alpha thalassemia trait subject conclusion increased erythrocyte count microcytosis child homozygous alphathalassaemia may contribute substantially protection sma
A low percentage of hematopoietic progenitor cells are susceptible to HIV-1 infection ex vivo.,,0,low percentage hematopoietic progenitor cell susceptible hiv infection ex vivo,,low percentage hematopoietic progenitor cell susceptible hiv infection ex vivo 
A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,"We assessed the in utero and neonatal role of two key regulators of pancreatic insulin secretion by studying birthweight and the incidence of neonatal hypoglycaemia in patients with heterozygous mutations in the maturity-onset diabetes of the young (MODY) genes HNF4A (encoding HNF-4α) and HNF1A/TCF1 (encoding HNF-1α), and the effect of pancreatic deletion of Hnf4a on foetal and neonatal insulin secretion in mice.",1,mutation hnfa lead increased risk developing diabetes age year,assessed utero neonatal role two key regulator pancreatic insulin secretion studying birthweight incidence neonatal hypoglycaemia patient heterozygous mutation maturityonset diabetes young mody gene hnfa encoding hnfα hnfatcf encoding hnfα effect pancreatic deletion hnfa foetal neonatal insulin secretion mouse,mutation hnfa lead increased risk developing diabetes age year assessed utero neonatal role two key regulator pancreatic insulin secretion studying birthweight incidence neonatal hypoglycaemia patient heterozygous mutation maturityonset diabetes young mody gene hnfa encoding hnfα hnfatcf encoding hnfα effect pancreatic deletion hnfa foetal neonatal insulin secretion mouse
A mutation in HNF4A leads to an increased risk of diabetes by the age of 14 years.,,0,mutation hnfa lead increased risk diabetes age year,,mutation hnfa lead increased risk diabetes age year 
A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,"Individual genotyping of two SNPs (rs1934179 and rs7063116) in DGKK, encoding diacylglycerol kinase κ, produced compelling evidence for association with hypospadias in the discovery sample (allele-specific odds ratio (OR) = 2.5, P = 2.5 × 10−11 and OR = 2.3, P = 2.9 × 10−9, respectively) and in the Dutch (OR = 3.9, P = 2.4 × 10−5 and OR = 3.8, P = 3.4 × 10−5) and Swedish (OR = 2.5, P = 2.6 × 10−8 and OR = 2.2, P = 2.7 × 10−6) replication samples.",1,single nucleotide variant gene dgkk strongly associated increased risk hypospadias,individual genotyping two snp r r dgkk encoding diacylglycerol kinase κ produced compelling evidence association hypospadias discovery sample allelespecific odds ratio p p respectively dutch p p swedish p p replication sample,single nucleotide variant gene dgkk strongly associated increased risk hypospadias individual genotyping two snp r r dgkk encoding diacylglycerol kinase κ produced compelling evidence association hypospadias discovery sample allelespecific odds ratio p p respectively dutch p p swedish p p replication sample
A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,We detect a strong and reproducible bias in the phage genome locations from which spacers derive.,1,strong bias phage genome location spacers derived observed many crispr subtypes confer immunity phage,detect strong reproducible bias phage genome location spacers derive,strong bias phage genome location spacers derived observed many crispr subtypes confer immunity phage detect strong reproducible bias phage genome location spacers derive
ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,"In a series of 577 breast carcinomas, expression of ALDH1 detected by immunostaining correlated with poor prognosis.",1,aldh expression associated poorer prognosis breast cancer primary tumor,series breast carcinoma expression aldh detected immunostaining correlated poor prognosis,aldh expression associated poorer prognosis breast cancer primary tumor series breast carcinoma expression aldh detected immunostaining correlated poor prognosis
AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,"Pharmacological activation of AMPK in myofibroblasts from lungs of humans with IPF display lower fibrotic activity, along with enhanced mitochondrial biogenesis and normalization of sensitivity to apoptosis.",1,ampactivated protein kinase ampk activation reduces inflammationrelated fibrosis lung,pharmacological activation ampk myofibroblasts lung human ipf display lower fibrotic activity along enhanced mitochondrial biogenesis normalization sensitivity apoptosis,ampactivated protein kinase ampk activation reduces inflammationrelated fibrosis lung pharmacological activation ampk myofibroblasts lung human ipf display lower fibrotic activity along enhanced mitochondrial biogenesis normalization sensitivity apoptosis
AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,"In a bleomycin model of lung fibrosis in mice, metformin therapeutically accelerates the resolution of well-established fibrosis in an AMPK-dependent manner.",1,ampactivated protein kinase ampk activation reduces inflammationrelated fibrosis lung,bleomycin model lung fibrosis mouse metformin therapeutically accelerates resolution wellestablished fibrosis ampkdependent manner,ampactivated protein kinase ampk activation reduces inflammationrelated fibrosis lung bleomycin model lung fibrosis mouse metformin therapeutically accelerates resolution wellestablished fibrosis ampkdependent manner
AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,"These studies implicate deficient AMPK activation in non-resolving, pathologic fibrotic processes, and support a role for metformin (or other AMPK activators) to reverse established fibrosis by facilitating deactivation and apoptosis of myofibroblasts.",1,ampactivated protein kinase ampk activation reduces inflammationrelated fibrosis lung,study implicate deficient ampk activation nonresolving pathologic fibrotic process support role metformin ampk activator reverse established fibrosis facilitating deactivation apoptosis myofibroblasts,ampactivated protein kinase ampk activation reduces inflammationrelated fibrosis lung study implicate deficient ampk activation nonresolving pathologic fibrotic process support role metformin ampk activator reverse established fibrosis facilitating deactivation apoptosis myofibroblasts
APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.,"Using human neurons derived from induced pluripotent stem cells that expressed apolipoprotein E4 (ApoE4), a variant of the APOE gene product and the major genetic risk factor for AD, we demonstrated that ApoE4-expressing neurons had higher levels of tau phosphorylation, unrelated to their increased production of amyloid-β (Aβ) peptides, and that they displayed GABAergic neuron degeneration.",0,apoe expression ipscderived neuron result decreased tau phosphorylation,using human neuron derived induced pluripotent stem cell expressed apolipoprotein e apoe variant apoe gene product major genetic risk factor ad demonstrated apoeexpressing neuron higher level tau phosphorylation unrelated increased production amyloidβ aβ peptide displayed gabaergic neuron degeneration,apoe expression ipscderived neuron result decreased tau phosphorylation using human neuron derived induced pluripotent stem cell expressed apolipoprotein e apoe variant apoe gene product major genetic risk factor ad demonstrated apoeexpressing neuron higher level tau phosphorylation unrelated increased production amyloidβ aβ peptide displayed gabaergic neuron degeneration
ART has no effect on the infectiveness of HIV-positive people.,"For a scenario in which 80% of HIV-infected individuals start treatment on average 1 y after their CD4 count drops below 350 cells/µl and 85% remain on treatment after 3 y, the models projected that HIV incidence would be 35% to 54% lower 8 y after the introduction of ART, compared to a counterfactual scenario in which there is no ART.",0,art effect infectiveness hivpositive people,scenario hivinfected individual start treatment average cd count drop cellsµl remain treatment model projected hiv incidence would lower introduction art compared counterfactual scenario art,art effect infectiveness hivpositive people scenario hivinfected individual start treatment average cd count drop cellsµl remain treatment model projected hiv incidence would lower introduction art compared counterfactual scenario art
ART has no effect on the infectiveness of HIV-positive people.,"Considering the actual scale-up of ART in South Africa, seven models estimated that current HIV incidence is 17% to 32% lower than it would have been in the absence of ART.",0,art effect infectiveness hivpositive people,considering actual scaleup art south africa seven model estimated current hiv incidence lower would absence art,art effect infectiveness hivpositive people considering actual scaleup art south africa seven model estimated current hiv incidence lower would absence art
ART has no effect on the infectiveness of HIV-positive people.,"CONCLUSIONS Mathematical models evaluating the impact of ART vary substantially in structure, complexity, and parameter choices, but all suggest that ART, at high levels of access and with high adherence, has the potential to substantially reduce new HIV infections.",0,art effect infectiveness hivpositive people,conclusion mathematical model evaluating impact art vary substantially structure complexity parameter choice suggest art high level access high adherence potential substantially reduce new hiv infection,art effect infectiveness hivpositive people conclusion mathematical model evaluating impact art vary substantially structure complexity parameter choice suggest art high level access high adherence potential substantially reduce new hiv infection
